customer_id,customer_uuid,first_name,last_name,email,phone,registration_date,customer_status
1012,f240de0d-dba8-4649-a153-e13808472a8b,Courtney,Ortega,pbrewer@example.org,,2024-02-28,Active
1013,d9919143-95b4-4e16-8aed-63161e57e3d9,Thomas,Gentry,,464-860-6225,2023-11-25,Pending
1014,302b5fef-dc3c-478c-8ef0-b82a0d8b3d76,Lindsey,Reilly,henry38@example.net,618-887-4890,2024-04-20,Inactive
1015,ab35d31f-0567-4d26-9e8d-8f5f4cd01e60,Brittany,Ryan,valentineomar@example.com,225-618-5047,2024-02-17,Inactive
1016,cb6d66ab-5c58-4a8c-be6a-68b7d4e240fc,Andrew,Garcia,rogersjonathan@example.org,901-805-9691,2023-09-26,Inactive
1017,7792de4b-8070-4751-8241-cd482dc96629,Angel,Yoder,ritawilliams@example.net,,2024-03-20,Pending
1018,6a4c4e38-14ad-410f-b849-dc787ca352e7,Teresa,Nguyen,ross80@example.org,527-260-7532,2022-10-20,Suspended
1019,aef7e837-dea9-407c-a68e-c6b6b1edbed2,Steven,Bradshaw,john40@example.com,852-596-6579,2024-10-20,Pending
1020,43d77745-29d3-4e90-9ce1-d2959c453113,Jonathan,Patterson,ewilson@example.org,957-290-7719,2023-10-01,Active
1021,98758daf-74bd-4af9-bed2-445622e45953,William,Espinoza,othomas@example.com,325-717-3093,2025-01-15,Pending
1022,35d57322-369b-433a-aeb0-93ff146f4d0b,Andrea,Sims,qkirk@example.org,440-717-7722,2022-11-16,Pending
1023,a48d0c96-ffa1-41f1-99a8-87bb31711831,Jennifer,Johnson,rebeccamatthews@example.net,336-654-2264,2023-08-02,Inactive
1024,c104a2fe-261a-482e-a83c-b45883dc5329,Dennis,Harris,jhill@example.org,387-282-4300,2023-05-13,Pending
1025,9fae9714-0e13-44f6-b11d-207926d26b29,Eddie,Ball,karen11@example.net,925-651-1791,2025-06-09,Pending
1026,ca8f36e7-3d7c-4725-a370-83fc1086ba40,James,Newman,emorgan@example.com,964-208-8006,2023-01-02,Active
1027,eb3d4cae-400d-476c-a5c1-c9f494b880fc,Jennifer,Garrett,robertstony@example.org,575-997-2057,2024-10-31,Inactive
1028,4bb15eb3-78a8-46bc-836f-382bff0b1bba,Ian,Burgess,wwright@example.org,914-283-8369,2022-08-06,Active
1029,c7661d8b-1af1-4e9a-985d-feba5b3668ff,Vanessa,Garcia,ptaylor@example.org,738-743-7902,2024-05-25,Suspended
1030,c1d8d71b-3498-44a1-8a6e-2a91123086c3,Kimberly,Mercado,iburke@example.org,497-523-5890,2024-11-04,Inactive
1031,8e780e6f-8886-4aa6-9cbd-52176866c626,Austin,Garcia,ashley30@example.org,782-849-9236,2022-07-13,Pending
1032,40905a69-291d-4aeb-b6c9-99ce7917c33b,Kristopher,Murphy,tpotter@example.com,619-295-8524,2025-06-01,Inactive
1033,fd563dcf-586d-4857-ba83-8b490777aa11,Edward,Randolph,qchen@example.net,,2024-07-13,Inactive
1034,7d5c4080-4907-4de1-9ea8-6fc6ab5e94f3,Michelle,Navarro,,748-695-8313,2024-03-10,Active
1035,6dee72a8-c1a2-4bda-b74e-c80a03b1650e,Amanda,Martin,,999-621-7504,2023-03-19,Suspended
1036,e036d4c3-7ffe-44d0-b431-6841b55d6133,Carla,Martinez,lisa22@example.com,701-940-5985,2023-02-04,Pending
1037,e84aae3d-71d1-4202-a23e-b0d9d809f1fe,Brian,Decker,thomas77@example.org,579-335-7822,2025-02-23,Inactive
1038,e63a605d-0f74-4ae5-bf45-efe00b707fb7,Anna,Hood,sara92@example.org,543-783-4400,2023-04-30,Pending
