customer_id,customer_name,customer_tier,registration_date,status,email
1,Customer_000001,Standard,2024-08-02,Inactive,customer1@email.com
2,Customer_000002,Basic,2022-05-17,Active,customer2@email.com
3,Customer_000003,Standard,2024-10-17,Active,customer3@email.com
4,Customer_000004,Premium,2024-04-24,Inactive,customer4@email.com
5,Customer_000005,Basic,2022-03-24,Inactive,customer5@email.com
6,Customer_000006,Premium,2024-02-24,Inactive,customer6@email.com
7,Customer_000007,Basic,2024-01-22,Active,customer7@email.com
8,Customer_000008,,2022-07-24,Active,customer8@email.com
9,Customer_000009,Standard,2021-11-23,Active,customer9@email.com
10,Customer_000010,Standard,2021-11-15,Active,customer10@email.com
11,Customer_000011,Basic,2021-07-29,Active,customer11@email.com
12,Customer_000012,Standard,2022-12-06,Active,customer12@email.com
13,Customer_000013,Standard,2023-07-30,Inactive,customer13@email.com
14,Customer_000014,Standard,2023-02-15,Active,customer14@email.com
15,Customer_000015,Basic,2024-07-11,Active,customer15@email.com
16,Customer_000016,Basic,2024-03-28,Active,customer16@email.com
17,Customer_000017,Premium,2024-09-16,Inactive,customer17@email.com
18,Customer_000018,Basic,2021-06-13,Inactive,customer18@email.com
19,Customer_000019,Standard,2023-02-18,Active,customer19@email.com
20,Customer_000020,Basic,2023-01-18,Active,customer20@email.com
21,Customer_000021,Premium,2024-10-04,Active,customer21@email.com
22,Customer_000022,Premium,2024-08-20,Inactive,customer22@email.com
23,Customer_000023,Standard,2023-12-30,Active,customer23@email.com
24,Customer_000024,Standard,2023-02-17,Active,customer24@email.com
25,Customer_000025,Basic,2024-11-10,Active,customer25@email.com
26,Customer_000026,Basic,2021-04-25,Inactive,customer26@email.com
27,Customer_000027,Basic,2022-10-09,Inactive,customer27@email.com
28,Customer_000028,Basic,2024-03-07,Inactive,customer28@email.com
29,Customer_000029,Premium,2024-09-04,Active,customer29@email.com
30,Customer_000030,Premium,2024-08-09,Active,customer30@email.com
31,Customer_000031,Standard,2022-05-21,Active,customer31@email.com
32,Customer_000032,Basic,2024-04-12,Active,customer32@email.com
33,Customer_000033,Standard,2023-01-12,Active,customer33@email.com
34,Customer_000034,Premium,2023-11-10,Active,customer34@email.com
35,Customer_000035,Premium,2021-08-13,Inactive,customer35@email.com
36,Customer_000036,Basic,2024-10-25,Active,customer36@email.com
37,Customer_000037,Premium,2023-02-21,Active,customer37@email.com
38,Customer_000038,Basic,2022-05-30,Inactive,customer38@email.com
39,Customer_000039,Basic,2021-01-24,Active,customer39@email.com
40,Customer_000040,Standard,2024-01-05,Active,customer40@email.com
41,Customer_000041,Basic,2022-11-28,Active,customer41@email.com
42,,Standard,2023-07-19,Active,
43,Customer_000043,Standard,2022-06-24,Active,customer43@email.com
44,Customer_000044,Basic,2023-11-06,Active,customer44@email.com
45,Customer_000045,Basic,2022-09-04,Active,customer45@email.com
46,Customer_000046,Premium,2022-02-12,Active,customer46@email.com
47,Customer_000047,Basic,2024-01-10,Active,customer47@email.com
48,Customer_000048,Basic,2021-01-02,Active,customer48@email.com
49,Customer_000049,Basic,2021-08-18,Active,customer49@email.com
50,Customer_000050,Premium,2022-09-22,Active,customer50@email.com
51,Customer_000051,Premium,2024-03-07,Active,customer51@email.com
52,Customer_000052,Standard,2023-09-23,Active,customer52@email.com
53,Customer_000053,Basic,2023-12-27,Active,customer53@email.com
54,Customer_000054,Standard,2023-09-01,Inactive,customer54@email.com
55,Customer_000055,Standard,2023-12-17,Active,customer55@email.com
56,Customer_000056,Standard,2022-03-10,Active,customer56@email.com
57,Customer_000057,Basic,2024-11-13,Inactive,customer57@email.com
58,Customer_000058,Basic,2024-10-07,Inactive,customer58@email.com
59,Customer_000059,Basic,2023-11-26,Active,customer59@email.com
60,Customer_000060,Basic,2021-05-12,Active,customer60@email.com
61,Customer_000061,,2022-04-17,Inactive,customer61@email.com
62,Customer_000062,Standard,2024-12-20,Active,customer62@email.com
63,Customer_000063,Standard,2021-03-06,Active,customer63@email.com
